ID,Mass,Bfld,Type
240001,5920578600.0,2.775486,Pre-Infall
240003,19716510000.0,2.6396334,Pre-Infall
240004,7960780000.0,1.2937652,Pre-Infall
240005,3661117400.0,1.6433743,Pre-Infall
240006,7822291500.0,2.2442112,Pre-Infall
240008,1679754400.0,0.2746054,Pre-Infall
240010,2095424300.0,0.5152903,Pre-Infall
241154,86692670000.0,2.2245634,Pre-Infall
241156,18063817000.0,2.2908247,Pre-Infall
241157,7661767700.0,0.62059915,Pre-Infall
241159,10509142000.0,2.5341845,Pre-Infall
241160,8619724000.0,3.1381054,Pre-Infall
241161,3611979800.0,1.9908373,Pre-Infall
241165,1457160200.0,0.57477087,Pre-Infall
241167,1082465700.0,0.797925,Pre-Infall
242216,64994620000.0,0.32911888,Pre-Infall
242217,62370947000.0,1.1851112,Pre-Infall
242218,11263059000.0,0.43400607,Pre-Infall
242219,9686230000.0,0.6470846,Pre-Infall
242220,9417775000.0,1.0189673,Pre-Infall
242223,6521200600.0,1.4807533,Pre-Infall
242224,2606550500.0,0.8272765,Pre-Infall
242228,3463605200.0,0.92452925,Pre-Infall
242229,2145859000.0,0.43927392,Pre-Infall
242230,1707163300.0,1.2479738,Pre-Infall
242234,1349148000.0,0.3678536,Pre-Infall
242235,1018563900.0,0.7747943,Pre-Infall
242236,1521773000.0,4.442687,Pre-Infall
243191,13230506000.0,1.0144235,Pre-Infall
243192,34174136000.0,6.154668,Pre-Infall
243193,30440049000.0,5.2894745,Pre-Infall
243195,2256457700.0,1.3114163,Pre-Infall
243196,2293050400.0,1.4526781,Pre-Infall
243197,5330552000.0,1.1666682,Pre-Infall
244322,17380264000.0,2.4642568,Pre-Infall
244324,18793249000.0,5.940553,Pre-Infall
244325,1370130600.0,0.47011846,Pre-Infall
244328,2824008000.0,0.49335527,Pre-Infall
244329,3844045300.0,3.082066,Pre-Infall
244330,4325399000.0,2.7930205,Pre-Infall
245139,19781294000.0,0.39799005,Pre-Infall
245140,23808270000.0,0.79980683,Pre-Infall
245141,32778308000.0,0.8395929,Pre-Infall
245143,13225445000.0,0.732034,Pre-Infall
245144,2514256000.0,1.0427315,Pre-Infall
245145,7555411000.0,2.8671126,Pre-Infall
246234,46001836000.0,0.25109953,Pre-Infall
246235,104589780000.0,0.4861218,Pre-Infall
246236,12848910000.0,1.1051097,Pre-Infall
246238,4966676500.0,1.8431323,Pre-Infall
246241,2179645000.0,0.5177579,Pre-Infall
246244,2079023400.0,0.6554457,Pre-Infall
246263,1722155100.0,7.440051,Pre-Infall
247350,16887311000.0,1.7170768,Pre-Infall
247351,4909881300.0,1.608137,Pre-Infall
247352,11985896000.0,2.1453311,Pre-Infall
247356,2804091000.0,1.6724497,Pre-Infall
247357,1000656600.0,0.47601616,Pre-Infall
248158,124433230000.0,2.2869902,Pre-Infall
248159,24179590000.0,0.25119114,Pre-Infall
248160,38786890000.0,2.785894,Pre-Infall
